Rnd,Pick,Team,Player,First Year,Age Draft,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,DYAR,YAR,DVOA,VOA,EYds,DPI Pens,DPI Yds,Rec Pts First Season,Rec Pts/G First Season,Rec Pts Second Season,Rec Pts/G Second Season
1,3,CLE,B.Edwards,2005,22,10.0,7.0,59.0,32.0,54.2,512.0,16.0,3.0,22.0,80.0,8.7,3.2,51.2,72.0,80.0,3.3,4.9,474.0,0.0,0.0,69.2,6.92,124.4,7.775
1,7,MIN,T.Williamson,2005,22,14.0,3.0,52.0,24.0,46.2,372.0,15.5,2.0,18.0,56.0,7.2,1.7,26.6,29.0,14.0,-5.4,-9.3,370.0,0.0,0.0,49.2,3.5142857142857147,45.5,3.25
1,10,DET,M.Williams,2005,21,14.0,4.0,57.0,29.0,50.9,350.0,12.1,1.0,20.0,49.0,6.1,2.1,25.0,-16.0,-19.0,-16.3,-16.9,337.0,1.0,23.0,41.0,2.9285714285714284,15.9,1.9875
1,21,JAX,M.Jones,2005,22,16.0,1.0,69.0,36.0,52.2,432.0,12.0,5.0,23.0,42.0,6.3,2.3,27.0,34.0,42.0,-6.4,-4.7,483.0,0.0,0.0,73.2,4.575,88.3,6.307142857142857
1,22,BAL,M.Clayton,2005,23,14.0,10.0,87.0,44.0,50.6,471.0,10.7,2.0,22.0,47.0,5.4,3.1,33.6,-70.0,-63.0,-23.0,-22.1,446.0,1.0,21.0,59.1,4.221428571428572,123.9,7.74375
1,27,ATL,R.White,2005,23,16.0,8.0,69.0,29.0,42.0,446.0,15.4,3.0,23.0,54.0,6.5,1.8,27.9,21.0,24.0,-8.8,-8.2,478.0,2.0,90.0,62.6,3.9125,50.6,3.1625
2,35,PHI,R.Brown,2005,24,16.0,11.0,79.0,43.0,54.4,571.0,13.3,4.0,24.0,56.0,7.2,2.7,35.7,46.0,29.0,-5.3,-8.1,583.0,2.0,26.0,81.1,5.06875,129.6,8.1
2,39,CHI,M.Bradley,2005,23,7.0,4.0,36.0,18.0,50.0,230.0,12.8,0.0,9.0,54.0,6.4,2.6,32.9,-21.0,-26.0,-20.3,-21.9,195.0,2.0,31.0,23.0,3.2857142857142856,46.2,4.62
2,55,BUF,R.Parrish,2005,23,10.0,1.0,25.0,15.0,60.0,148.0,9.9,1.0,7.0,28.0,5.9,1.5,14.8,-1.0,-6.0,-13.0,-15.8,151.0,1.0,23.0,20.8,2.08,44.0,2.75
3,68,TEN,C.Roby,2005,22,13.0,6.0,43.0,21.0,48.8,289.0,13.8,1.0,12.0,32.0,6.7,1.6,22.2,-23.0,-13.0,-19.7,-16.6,233.0,1.0,3.0,34.9,2.6846153846153844,2.8,0.2333333333333333
3,83,CIN,C.Henry,2005,22,14.0,5.0,50.0,31.0,62.0,422.0,13.6,6.0,19.0,47.0,8.4,2.2,30.1,87.0,73.0,10.4,6.8,436.0,1.0,25.0,78.2,5.585714285714286,114.5,8.807692307692307
3,96,TEN,B.Jones,2005,23,10.0,8.0,47.0,23.0,48.9,299.0,13.0,2.0,18.0,38.0,6.4,2.3,29.9,-12.0,5.0,-15.7,-11.4,298.0,0.0,0.0,41.9,4.19,62.4,3.9
1,25,PIT,S.Holmes,2006,22,16.0,4.0,86.0,49.0,57.0,824.0,16.8,2.0,40.0,67.0,9.6,3.1,51.5,215.0,213.0,17.9,17.7,888.0,2.0,20.0,94.4,5.9,142.2,10.938461538461537
2,44,NYG,S.Moss,2006,22,6.0,0.0,10.0,5.0,50.0,25.0,5.0,0.0,1.0,10.0,2.5,0.8,4.2,-44.0,-46.0,-60.1,-62.5,11.0,0.0,0.0,2.5,0.4166666666666667,22.5,1.7307692307692308
2,52,GNB,G.Jennings,2006,22,14.0,11.0,104.0,45.0,43.3,632.0,14.0,3.0,29.0,75.0,6.1,3.2,45.1,-97.0,-79.0,-24.2,-22.1,543.0,2.0,27.0,81.2,5.8,164.0,12.615384615384615
3,82,MIA,D.Hagan,2006,21,16.0,0.0,37.0,21.0,56.8,221.0,10.5,1.0,13.0,24.0,6.0,1.3,13.8,7.0,-2.0,-10.3,-13.4,242.0,0.0,0.0,28.1,1.75625,49.3,3.08125
